"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)","Latest: photodiode voltage shifted","Latest: sweep field voltage shifted"
0.00,-2.719,-6.084,0.751,-0.574
0.01,-2.732,-6.084,0.738,-0.574
0.02,-2.749,-6.084,0.721,-0.574
0.03,-2.761,-6.084,0.709,-0.574
0.04,-2.767,-6.084,0.703,-0.574
0.05,-2.767,-6.084,0.703,-0.574
0.06,-2.764,-6.084,0.706,-0.574
0.07,-2.758,-6.084,0.712,-0.574
0.08,-2.744,-6.084,0.726,-0.574
0.09,-2.737,-6.084,0.733,-0.574
0.10,-2.728,-6.084,0.742,-0.574
0.11,-2.723,-6.084,0.747,-0.574
0.12,-2.725,-6.084,0.745,-0.574
0.13,-2.732,-6.084,0.738,-0.574
0.14,-2.734,-6.084,0.736,-0.574
0.15,-2.728,-6.084,0.742,-0.574
0.16,-2.723,-6.084,0.747,-0.574
0.17,-2.723,-6.084,0.747,-0.574
0.18,-2.719,-6.084,0.751,-0.574
0.19,-2.713,-6.084,0.757,-0.574
0.20,-2.719,-6.084,0.751,-0.574
0.21,-2.716,-6.084,0.754,-0.574
0.22,-2.716,-6.084,0.754,-0.574
0.23,-2.713,-6.084,0.757,-0.574
0.24,-2.711,-6.084,0.759,-0.574
0.25,-2.711,-6.084,0.759,-0.574
0.26,-2.716,-6.084,0.754,-0.574
0.27,-2.716,-6.084,0.754,-0.574
0.28,-2.716,-6.084,0.754,-0.574
0.29,-2.713,-6.084,0.757,-0.574
0.30,-2.711,-6.084,0.759,-0.574
0.31,-2.713,-6.084,0.757,-0.574
0.32,-2.713,-6.084,0.757,-0.574
0.33,-2.716,-6.084,0.754,-0.574
0.34,-2.716,-6.084,0.754,-0.574
0.35,-2.716,-6.084,0.754,-0.574
0.36,-2.713,-6.084,0.757,-0.574
0.37,-2.711,-6.084,0.759,-0.574
0.38,-2.711,-6.084,0.759,-0.574
0.39,-2.716,-6.084,0.754,-0.574
0.40,-2.716,-6.084,0.754,-0.574
0.41,-2.716,-6.084,0.754,-0.574
0.42,-2.719,-6.084,0.751,-0.574
0.43,-2.723,-6.084,0.747,-0.574
0.44,-2.723,-6.084,0.747,-0.574
0.45,-2.728,-6.084,0.742,-0.574
0.46,-2.725,-6.084,0.745,-0.574
0.47,-2.725,-6.084,0.745,-0.574
0.48,-2.713,-6.084,0.757,-0.574
0.49,-2.711,-6.084,0.759,-0.574
0.50,-2.713,-6.084,0.757,-0.574
0.51,-2.713,-6.084,0.757,-0.574
0.52,-2.719,-6.084,0.751,-0.574
0.53,-2.716,-6.084,0.754,-0.574
0.54,-2.713,-6.084,0.757,-0.574
0.55,-2.713,-6.084,0.757,-0.574
0.56,-2.711,-6.084,0.759,-0.574
0.57,-2.711,-6.084,0.759,-0.574
0.58,-2.716,-6.084,0.754,-0.574
0.59,-2.716,-6.084,0.754,-0.574
0.60,-2.716,-6.084,0.754,-0.574
0.61,-2.713,-6.084,0.757,-0.574
0.62,-2.713,-6.084,0.757,-0.574
0.63,-2.711,-6.084,0.759,-0.574
0.64,-2.716,-6.084,0.754,-0.574
0.65,-2.716,-6.084,0.754,-0.574
0.66,-2.716,-6.084,0.754,-0.574
0.67,-2.716,-6.084,0.754,-0.574
0.68,-2.716,-6.084,0.754,-0.574
0.69,-2.725,-6.084,0.745,-0.574
0.70,-2.723,-6.084,0.747,-0.574
0.71,-2.728,-6.084,0.742,-0.574
0.72,-2.725,-6.084,0.745,-0.574
0.73,-2.719,-6.084,0.751,-0.574
0.74,-2.713,-6.084,0.757,-0.574
0.75,-2.716,-6.084,0.754,-0.574
0.76,-2.713,-6.084,0.757,-0.574
0.77,-2.719,-6.084,0.751,-0.574
0.78,-2.719,-6.084,0.751,-0.574
0.79,-2.716,-6.084,0.754,-0.574
0.80,-2.716,-6.084,0.754,-0.574
0.81,-2.713,-6.084,0.757,-0.574
0.82,-2.713,-6.084,0.757,-0.574
0.83,-2.711,-6.084,0.759,-0.574
0.84,-2.716,-6.084,0.754,-0.574
0.85,-2.716,-6.084,0.754,-0.574
0.86,-2.716,-6.084,0.754,-0.574
0.87,-2.713,-6.084,0.757,-0.574
0.88,-2.711,-6.084,0.759,-0.574
0.89,-2.713,-6.084,0.757,-0.574
0.90,-2.716,-6.084,0.754,-0.574
0.91,-2.719,-6.084,0.751,-0.574
0.92,-2.723,-6.084,0.747,-0.574
0.93,-2.725,-6.084,0.745,-0.574
0.94,-2.723,-6.084,0.747,-0.574
0.95,-2.723,-6.084,0.747,-0.574
0.96,-2.719,-6.084,0.751,-0.574
0.97,-2.719,-6.084,0.751,-0.574
0.98,-2.716,-6.084,0.754,-0.574
0.99,-2.716,-6.084,0.754,-0.574
1.00,-2.713,-6.084,0.757,-0.574
1.01,-2.713,-6.084,0.757,-0.574
1.02,-2.713,-6.084,0.757,-0.574
1.03,-2.719,-6.084,0.751,-0.574
1.04,-2.719,-6.084,0.751,-0.574
1.05,-2.716,-6.084,0.754,-0.574
1.06,-2.716,-6.084,0.754,-0.574
1.07,-2.713,-6.084,0.757,-0.574
1.08,-2.711,-6.084,0.759,-0.574
1.09,-2.713,-6.084,0.757,-0.574
1.10,-2.716,-6.084,0.754,-0.574
1.11,-2.713,-6.084,0.757,-0.574
1.12,-2.713,-6.084,0.757,-0.574
1.13,-2.716,-6.084,0.754,-0.574
1.14,-2.719,-6.084,0.751,-0.574
1.15,-2.725,-6.084,0.745,-0.574
1.16,-2.728,-6.084,0.742,-0.574
1.17,-2.728,-6.084,0.742,-0.574
1.18,-2.719,-6.084,0.751,-0.574
1.19,-2.716,-6.084,0.754,-0.574
1.20,-2.713,-6.084,0.757,-0.574
1.21,-2.713,-6.084,0.757,-0.574
1.22,-2.713,-6.084,0.757,-0.574
1.23,-2.716,-6.084,0.754,-0.574
1.24,-2.716,-6.084,0.754,-0.574
1.25,-2.716,-6.084,0.754,-0.574
1.26,-2.716,-6.084,0.754,-0.574
1.27,-2.713,-6.084,0.757,-0.574
1.28,-2.711,-6.084,0.759,-0.574
1.29,-2.713,-6.084,0.757,-0.574
1.30,-2.719,-6.084,0.751,-0.574
1.31,-2.716,-6.084,0.754,-0.574
1.32,-2.716,-6.084,0.754,-0.574
1.33,-2.713,-6.084,0.757,-0.574
1.34,-2.716,-6.084,0.754,-0.574
1.35,-2.723,-6.084,0.747,-0.574
1.36,-2.734,-6.084,0.736,-0.574
1.37,-2.728,-6.084,0.742,-0.574
1.38,-2.725,-6.084,0.745,-0.574
1.39,-2.719,-6.084,0.751,-0.574
1.40,-2.716,-6.084,0.754,-0.574
1.41,-2.713,-6.084,0.757,-0.574
1.42,-2.723,-6.084,0.747,-0.574
1.43,-2.723,-6.084,0.747,-0.574
1.44,-2.716,-6.084,0.754,-0.574
1.45,-2.716,-6.084,0.754,-0.574
1.46,-2.711,-6.084,0.759,-0.574
1.47,-2.711,-6.084,0.759,-0.574
1.48,-2.713,-6.084,0.757,-0.574
1.49,-2.716,-6.084,0.754,-0.574
1.50,-2.716,-6.084,0.754,-0.574
1.51,-2.716,-6.084,0.754,-0.574
1.52,-2.713,-6.084,0.757,-0.574
1.53,-2.713,-6.084,0.757,-0.574
1.54,-2.711,-6.084,0.759,-0.574
1.55,-2.716,-6.084,0.754,-0.574
1.56,-2.716,-6.084,0.754,-0.574
1.57,-2.719,-6.084,0.751,-0.574
1.58,-2.723,-6.084,0.747,-0.574
1.59,-2.725,-6.084,0.745,-0.574
1.60,-2.723,-6.084,0.747,-0.574
1.61,-2.725,-6.084,0.745,-0.574
1.62,-2.725,-6.084,0.745,-0.574
1.63,-2.716,-6.084,0.754,-0.574
1.64,-2.716,-6.084,0.754,-0.574
1.65,-2.716,-6.084,0.754,-0.574
1.66,-2.713,-6.084,0.757,-0.574
1.67,-2.713,-6.084,0.757,-0.574
1.68,-2.719,-6.084,0.751,-0.574
1.69,-2.719,-6.084,0.751,-0.574
1.70,-2.716,-6.084,0.754,-0.574
1.71,-2.716,-6.084,0.754,-0.574
1.72,-2.711,-6.084,0.759,-0.574
1.73,-2.713,-6.084,0.757,-0.574
1.74,-2.713,-6.084,0.757,-0.574
1.75,-2.723,-6.084,0.747,-0.574
1.76,-2.713,-6.084,0.757,-0.574
1.77,-2.716,-6.084,0.754,-0.574
