"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.0,-3.483,-6.006
0.1,-3.471,-6.000
0.2,-3.495,-5.994
0.3,-3.474,-6.015
0.4,-3.477,-5.988
0.5,-3.486,-6.003
0.6,-3.483,-5.997
0.7,-3.477,-5.994
0.8,-3.495,-5.991
0.9,-3.480,-6.003
1.0,-3.483,-5.985
1.1,-3.489,-5.994
1.2,-3.486,-5.991
1.3,-3.486,-5.991
1.4,-3.495,-5.979
1.5,-3.492,-5.982
1.6,-3.495,-5.988
1.7,-3.492,-5.973
1.8,-3.507,-5.991
1.9,-3.504,-5.985
2.0,-3.495,-5.970
2.1,-3.492,-5.973
2.2,-3.504,-5.973
2.3,-3.495,-5.988
2.4,-3.501,-5.967
2.5,-3.498,-5.967
2.6,-3.513,-5.976
2.7,-3.504,-5.970
2.8,-3.507,-5.976
2.9,-3.504,-5.961
3.0,-3.504,-5.967
3.1,-3.531,-5.958
3.2,-3.516,-5.964
3.3,-3.507,-5.979
3.4,-3.510,-5.967
3.5,-3.519,-5.955
3.6,-3.516,-5.949
3.7,-3.510,-5.952
3.8,-3.525,-5.958
3.9,-3.537,-5.952
4.0,-3.519,-5.955
4.1,-3.522,-5.961
4.2,-3.519,-5.955
4.3,-3.519,-5.967
4.4,-3.522,-5.943
4.5,-3.531,-5.943
4.6,-3.528,-5.940
4.7,-3.531,-5.940
4.8,-3.525,-5.940
4.9,-3.528,-5.937
5.0,-3.528,-5.940
5.1,-3.534,-5.943
5.2,-3.540,-5.943
5.3,-3.543,-5.937
5.4,-3.546,-5.928
5.5,-3.552,-5.931
5.6,-3.552,-5.928
5.7,-3.555,-5.928
5.8,-3.555,-5.928
5.9,-3.552,-5.925
6.0,-3.552,-5.925
6.1,-3.543,-5.922
6.2,-3.546,-5.919
6.3,-3.543,-5.925
6.4,-3.546,-5.931
6.5,-3.552,-5.931
6.6,-3.552,-5.919
6.7,-3.555,-5.916
6.8,-3.555,-5.913
6.9,-3.564,-5.919
7.0,-3.567,-5.922
7.1,-3.558,-5.916
7.2,-3.564,-5.922
7.3,-3.579,-5.910
7.4,-3.579,-5.907
7.5,-3.573,-5.904
7.6,-3.564,-5.907
7.7,-3.567,-5.913
7.8,-3.573,-5.904
7.9,-3.579,-5.913
8.0,-3.570,-5.904
8.1,-3.585,-5.904
8.2,-3.579,-5.895
8.3,-3.585,-5.895
8.4,-3.576,-5.907
8.5,-3.582,-5.901
8.6,-3.594,-5.898
8.7,-3.588,-5.901
8.8,-3.582,-5.889
8.9,-3.594,-5.892
9.0,-3.588,-5.901
9.1,-3.603,-5.886
9.2,-3.591,-5.883
9.3,-3.591,-5.898
9.4,-3.612,-5.889
9.5,-3.591,-5.895
9.6,-3.603,-5.880
9.7,-3.600,-5.883
9.8,-3.597,-5.877
9.9,-3.606,-5.880
10.0,-3.606,-5.877
10.1,-3.609,-5.871
10.2,-3.603,-5.883
10.3,-3.624,-5.871
10.4,-3.609,-5.871
10.5,-3.612,-5.880
10.6,-3.621,-5.865
10.7,-3.615,-5.877
10.8,-3.627,-5.871
10.9,-3.621,-5.865
11.0,-3.615,-5.871
11.1,-3.636,-5.859
11.2,-3.624,-5.862
11.3,-3.645,-5.862
11.4,-3.630,-5.856
11.5,-3.627,-5.871
11.6,-3.636,-5.853
11.7,-3.636,-5.859
11.8,-3.630,-5.856
11.9,-3.636,-5.853
12.0,-3.639,-5.850
12.1,-3.639,-5.856
12.2,-3.642,-5.865
12.3,-3.648,-5.850
12.4,-3.645,-5.844
12.5,-3.648,-5.850
12.6,-3.645,-5.856
12.7,-3.657,-5.847
12.8,-3.657,-5.844
12.9,-3.663,-5.841
13.0,-3.660,-5.847
13.1,-3.657,-5.838
13.2,-3.660,-5.838
13.3,-3.660,-5.847
13.4,-3.675,-5.847
13.5,-3.663,-5.847
13.6,-3.660,-5.835
13.7,-3.669,-5.832
13.8,-3.669,-5.829
13.9,-3.681,-5.829
14.0,-3.672,-5.832
14.1,-3.672,-5.823
14.2,-3.681,-5.823
14.3,-3.675,-5.832
14.4,-3.678,-5.835
14.5,-3.678,-5.832
14.6,-3.684,-5.826
14.7,-3.684,-5.820
14.8,-3.693,-5.817
14.9,-3.705,-5.817
15.0,-3.699,-5.820
15.1,-3.696,-5.820
15.2,-3.696,-5.820
15.3,-3.711,-5.820
15.4,-3.702,-5.814
15.5,-3.705,-5.820
15.6,-3.708,-5.805
15.7,-3.708,-5.817
15.8,-3.717,-5.805
15.9,-3.717,-5.817
16.0,-3.711,-5.796
16.1,-3.714,-5.802
16.2,-3.735,-5.799
16.3,-3.720,-5.802
16.4,-3.720,-5.817
16.5,-3.723,-5.793
16.6,-3.723,-5.796
16.7,-3.735,-5.796
16.8,-3.747,-5.796
16.9,-3.735,-5.808
17.0,-3.735,-5.802
17.1,-3.735,-5.793
17.2,-3.741,-5.787
17.3,-3.744,-5.784
17.4,-3.741,-5.787
17.5,-3.759,-5.787
17.6,-3.753,-5.787
17.7,-3.756,-5.787
17.8,-3.750,-5.787
17.9,-3.753,-5.793
18.0,-3.759,-5.787
18.1,-3.753,-5.796
18.2,-3.771,-5.784
18.3,-3.759,-5.775
18.4,-3.759,-5.779
18.5,-3.771,-5.770
18.6,-3.768,-5.770
18.7,-3.771,-5.775
18.8,-3.795,-5.766
18.9,-3.774,-5.763
19.0,-3.774,-5.775
19.1,-3.774,-5.763
19.2,-3.798,-5.760
19.3,-3.795,-5.763
19.4,-3.783,-5.758
19.5,-3.795,-5.772
19.6,-3.795,-5.772
19.7,-3.807,-5.770
19.8,-3.810,-5.770
19.9,-3.807,-5.763
20.0,-3.807,-5.758
20.1,-3.816,-5.760
20.2,-3.819,-5.751
20.3,-3.825,-5.749
20.4,-3.816,-5.751
20.5,-3.816,-5.749
20.6,-3.819,-5.749
20.7,-3.816,-5.746
20.8,-3.822,-5.749
20.9,-3.825,-5.751
21.0,-3.828,-5.749
21.1,-3.843,-5.746
21.2,-3.843,-5.740
21.3,-3.837,-5.737
21.4,-3.843,-5.737
21.5,-3.840,-5.742
21.6,-3.843,-5.751
21.7,-3.852,-5.751
21.8,-3.852,-5.733
21.9,-3.849,-5.731
22.0,-3.855,-5.737
22.1,-3.852,-5.731
22.2,-3.867,-5.740
22.3,-3.858,-5.725
22.4,-3.864,-5.725
22.5,-3.861,-5.733
22.6,-3.873,-5.737
22.7,-3.867,-5.721
22.8,-3.873,-5.716
22.9,-3.870,-5.740
23.0,-3.885,-5.721
23.1,-3.873,-5.716
23.2,-3.876,-5.719
23.3,-3.888,-5.719
23.4,-3.885,-5.725
23.5,-3.885,-5.713
23.6,-3.885,-5.733
23.7,-3.903,-5.713
23.8,-3.885,-5.716
23.9,-3.894,-5.716
24.0,-3.906,-5.713
24.1,-3.894,-5.695
24.2,-3.900,-5.728
24.3,-3.912,-5.698
24.4,-3.903,-5.695
24.5,-3.912,-5.704
24.6,-3.903,-5.689
24.7,-3.909,-5.713
24.8,-3.927,-5.692
24.9,-3.909,-5.689
25.0,-3.912,-5.704
25.1,-3.918,-5.686
25.2,-3.918,-5.698
25.3,-3.933,-5.704
25.4,-3.930,-5.680
25.5,-3.936,-5.686
25.6,-3.927,-5.683
25.7,-3.930,-5.698
25.8,-3.927,-5.680
25.9,-3.939,-5.686
26.0,-3.936,-5.677
26.1,-3.939,-5.686
26.2,-3.939,-5.674
26.3,-3.945,-5.704
26.4,-3.939,-5.674
26.5,-3.957,-5.680
26.6,-3.951,-5.668
26.7,-3.951,-5.674
26.8,-3.951,-5.668
26.9,-3.960,-5.671
27.0,-3.957,-5.665
27.1,-3.969,-5.668
27.2,-3.960,-5.665
27.3,-3.963,-5.659
27.4,-3.963,-5.665
27.5,-3.963,-5.659
27.6,-3.966,-5.659
27.7,-3.966,-5.665
27.8,-3.966,-5.653
27.9,-3.972,-5.653
28.0,-3.975,-5.656
28.1,-3.975,-5.650
28.2,-3.975,-5.650
28.3,-3.987,-5.650
28.4,-3.983,-5.653
28.5,-3.981,-5.644
28.6,-3.996,-5.656
28.7,-3.983,-5.656
28.8,-3.990,-5.641
28.9,-3.996,-5.641
29.0,-3.996,-5.641
29.1,-3.990,-5.659
29.2,-3.996,-5.635
29.3,-3.999,-5.632
29.4,-4.008,-5.635
29.5,-3.996,-5.656
29.6,-4.002,-5.632
29.7,-4.008,-5.632
29.8,-4.013,-5.632
29.9,-4.008,-5.632
30.0,-4.011,-5.641
30.1,-4.008,-5.623
30.2,-4.008,-5.623
30.3,-4.011,-5.626
30.4,-4.023,-5.632
30.5,-4.020,-5.626
30.6,-4.023,-5.626
30.7,-4.013,-5.644
30.8,-4.020,-5.629
