"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.00,-2.749,-6.084
0.01,-2.761,-6.084
0.02,-2.779,-6.084
0.03,-2.797,-6.084
0.04,-2.809,-6.084
0.05,-2.809,-6.084
0.06,-2.797,-6.084
0.07,-2.791,-6.084
0.08,-2.782,-6.084
0.09,-2.773,-6.084
0.10,-2.764,-6.084
0.11,-2.761,-6.084
0.12,-2.758,-6.084
0.13,-2.758,-6.084
0.14,-2.755,-6.084
0.15,-2.755,-6.084
0.16,-2.758,-6.084
0.17,-2.755,-6.084
0.18,-2.758,-6.084
0.19,-2.755,-6.084
0.20,-2.752,-6.084
0.21,-2.752,-6.084
0.22,-2.752,-6.084
0.23,-2.755,-6.084
0.24,-2.752,-6.084
0.25,-2.755,-6.084
0.26,-2.755,-6.084
0.27,-2.755,-6.084
0.28,-2.755,-6.084
0.29,-2.755,-6.084
0.30,-2.755,-6.084
0.31,-2.752,-6.084
0.32,-2.752,-6.084
0.33,-2.752,-6.084
0.34,-2.752,-6.084
0.35,-2.752,-6.084
0.36,-2.752,-6.084
0.37,-2.749,-6.084
0.38,-2.749,-6.084
0.39,-2.752,-6.084
0.40,-2.749,-6.084
0.41,-2.749,-6.084
0.42,-2.749,-6.084
0.43,-2.749,-6.084
0.44,-2.749,-6.084
0.45,-2.749,-6.084
0.46,-2.749,-6.084
0.47,-2.749,-6.084
0.48,-2.749,-6.084
0.49,-2.749,-6.084
0.50,-2.749,-6.084
0.51,-2.749,-6.084
0.52,-2.749,-6.084
0.53,-2.749,-6.084
0.54,-2.749,-6.084
0.55,-2.749,-6.084
0.56,-2.749,-6.084
0.57,-2.749,-6.084
0.58,-2.749,-6.084
0.59,-2.746,-6.084
0.60,-2.749,-6.084
0.61,-2.749,-6.084
0.62,-2.749,-6.084
0.63,-2.746,-6.084
0.64,-2.749,-6.084
0.65,-2.746,-6.084
0.66,-2.746,-6.084
0.67,-2.749,-6.084
0.68,-2.749,-6.084
0.69,-2.746,-6.084
0.70,-2.749,-6.084
0.71,-2.749,-6.084
0.72,-2.746,-6.084
0.73,-2.749,-6.084
0.74,-2.746,-6.084
0.75,-2.749,-6.084
0.76,-2.746,-6.084
0.77,-2.746,-6.084
0.78,-2.746,-6.084
0.79,-2.746,-6.084
0.80,-2.746,-6.084
0.81,-2.746,-6.084
0.82,-2.749,-6.084
0.83,-2.749,-6.084
0.84,-2.749,-6.084
0.85,-2.746,-6.084
0.86,-2.746,-6.084
0.87,-2.746,-6.084
0.88,-2.749,-6.084
0.89,-2.749,-6.084
0.90,-2.749,-6.084
0.91,-2.752,-6.084
0.92,-2.752,-6.084
0.93,-2.752,-6.084
0.94,-2.752,-6.084
0.95,-2.752,-6.084
0.96,-2.752,-6.084
0.97,-2.752,-6.084
0.98,-2.752,-6.084
0.99,-2.752,-6.084
1.00,-2.755,-6.084
1.01,-2.752,-6.084
1.02,-2.752,-6.084
1.03,-2.752,-6.084
1.04,-2.752,-6.084
1.05,-2.752,-6.084
1.06,-2.752,-6.084
1.07,-2.752,-6.084
1.08,-2.749,-6.084
1.09,-2.749,-6.084
1.10,-2.752,-6.084
1.11,-2.752,-6.084
1.12,-2.752,-6.084
1.13,-2.752,-6.084
1.14,-2.752,-6.084
1.15,-2.758,-6.084
1.16,-2.755,-6.084
1.17,-2.758,-6.084
1.18,-2.758,-6.084
1.19,-2.758,-6.084
1.20,-2.758,-6.084
1.21,-2.758,-6.084
1.22,-2.761,-6.084
1.23,-2.761,-6.084
1.24,-2.764,-6.084
1.25,-2.764,-6.084
1.26,-2.764,-6.084
1.27,-2.764,-6.084
1.28,-2.764,-6.084
1.29,-2.761,-6.084
1.30,-2.764,-6.084
1.31,-2.758,-6.084
1.32,-2.758,-6.084
1.33,-2.758,-6.084
1.34,-2.758,-6.084
1.35,-2.758,-6.084
1.36,-2.758,-6.084
1.37,-2.758,-6.084
1.38,-2.758,-6.084
1.39,-2.758,-6.084
1.40,-2.758,-6.084
1.41,-2.758,-6.084
1.42,-2.755,-6.084
1.43,-2.755,-6.084
1.44,-2.758,-6.084
1.45,-2.755,-6.084
1.46,-2.755,-6.084
1.47,-2.749,-6.084
1.48,-2.749,-6.084
1.49,-2.749,-6.084
1.50,-2.749,-6.084
1.51,-2.749,-6.084
1.52,-2.749,-6.084
1.53,-2.749,-6.084
1.54,-2.749,-6.084
1.55,-2.749,-6.084
1.56,-2.749,-6.084
1.57,-2.749,-6.084
1.58,-2.749,-6.084
1.59,-2.749,-6.084
1.60,-2.749,-6.084
1.61,-2.749,-6.084
1.62,-2.749,-6.084
1.63,-2.749,-6.084
1.64,-2.749,-6.084
1.65,-2.746,-6.084
1.66,-2.749,-6.084
1.67,-2.749,-6.084
1.68,-2.746,-6.084
1.69,-2.749,-6.084
1.70,-2.749,-6.084
